"GlobalSchemeId";"nameNationalLanguage";"nameEnglish";"budgetlines8Digit";"countryPayment"
"LU1";;"Direct payments under European Agricultural Guarantee Fund";;"LU"
"LU2";;"Other payments under European Agricultural Guarantee Fund";;"LU"
"LU3";;"European Agricultural Fund for Rural Development";;"LU"
