"paymentId";"globalPaymentId";"globalRecipientId";"globalRecipientIdx";"globalSchemeId";"amountEuro";"amountNationalCurrency";"year";"countryPayment"
6711;"LU6711";"LU1089";"LU1089";"LU1";570.49;;"2009";"LU"
6712;"LU6712";"LU1102";"LU1102";"LU1";2635.81;;"2009";"LU"
6713;"LU6713";"LU1094";"LU1094";"LU1";2065.60;;"2009";"LU"
6714;"LU6714";"LU1088";"LU1088";"LU1";7168.61;;"2009";"LU"
6715;"LU6715";"LU1095";"LU1095";"LU1";4759.04;;"2009";"LU"
6716;"LU6716";"LU1086";"LU1086";"LU1";10350.73;;"2009";"LU"
6717;"LU6717";"LU1101";"LU1101";"LU1";14232.80;;"2009";"LU"
6718;"LU6718";"LU1104";"LU1104";"LU1";11304.05;;"2009";"LU"
6719;"LU6719";"LU1082";"LU1082";"LU1";16504.02;;"2009";"LU"
6720;"LU6720";"LU1103";"LU1103";"LU1";17691.55;;"2009";"LU"
6721;"LU6721";"LU1081";"LU1081";"LU1";17010.91;;"2009";"LU"
6722;"LU6722";"LU1099";"LU1099";"LU1";20716.26;;"2009";"LU"
6723;"LU6723";"LU1079";"LU1079";"LU1";18803.48;;"2009";"LU"
6724;"LU6724";"LU1080";"LU1080";"LU1";14702.49;;"2009";"LU"
6725;"LU6725";"LU1091";"LU1091";"LU1";14207.62;;"2009";"LU"
6726;"LU6726";"LU1078";"LU1078";"LU1";24204.59;;"2009";"LU"
6727;"LU6727";"LU1084";"LU1084";"LU1";25435.11;;"2009";"LU"
6728;"LU6728";"LU1085";"LU1085";"LU1";19022.81;;"2009";"LU"
6729;"LU6729";"LU2191";"LU2191";"LU1";15462.08;;"2009";"LU"
6730;"LU6730";"LU2192";"LU2192";"LU1";19892.88;;"2009";"LU"
6731;"LU6731";"LU1077";"LU1077";"LU1";30902.80;;"2009";"LU"
6732;"LU6732";"LU1093";"LU1093";"LU1";34175.68;;"2009";"LU"
6733;"LU6733";"LU1083";"LU1083";"LU1";34856.81;;"2009";"LU"
6734;"LU6734";"LU1076";"LU1076";"LU1";39613.97;;"2009";"LU"
6735;"LU6735";"LU1096";"LU1096";"LU1";36657.72;;"2009";"LU"
6736;"LU6736";"LU1098";"LU1098";"LU1";45158.16;;"2009";"LU"
6737;"LU6737";"LU2193";"LU2193";"LU1";25387.86;;"2009";"LU"
6738;"LU6738";"LU1110";"LU1110";"LU1";502.95;;"2009";"LU"
6739;"LU6739";"LU1107";"LU1107";"LU1";2681.51;;"2009";"LU"
6740;"LU6740";"LU1105";"LU1105";"LU1";3215.54;;"2009";"LU"
6741;"LU6741";"LU1106";"LU1106";"LU1";9014.98;;"2009";"LU"
6742;"LU6742";"LU1112";"LU1112";"LU1";14381.38;;"2009";"LU"
6743;"LU6743";"LU1108";"LU1108";"LU1";34369.47;;"2009";"LU"
6744;"LU6744";"LU1120";"LU1120";"LU1";1113.10;;"2009";"LU"
6745;"LU6745";"LU1122";"LU1122";"LU1";4354.53;;"2009";"LU"
6746;"LU6746";"LU1114";"LU1114";"LU1";25692.21;;"2009";"LU"
6747;"LU6747";"LU1117";"LU1117";"LU1";22002.84;;"2009";"LU"
6748;"LU6748";"LU1118";"LU1118";"LU1";24686.82;;"2009";"LU"
6749;"LU6749";"LU1115";"LU1115";"LU1";19575.46;;"2009";"LU"
6750;"LU6750";"LU1119";"LU1119";"LU1";33094.20;;"2009";"LU"
6751;"LU6751";"LU1116";"LU1116";"LU1";22731.05;;"2009";"LU"
6752;"LU6752";"LU1123";"LU1123";"LU1";610.17;;"2009";"LU"
6753;"LU6753";"LU2197";"LU2197";"LU1";-999.04;;"2009";"LU"
6754;"LU6754";"LU1143";"LU1143";"LU1";1029.48;;"2009";"LU"
6755;"LU6755";"LU1128";"LU1128";"LU1";462.87;;"2009";"LU"
6756;"LU6756";"LU1137";"LU1137";"LU1";3411.02;;"2009";"LU"
6757;"LU6757";"LU1135";"LU1135";"LU1";4367.75;;"2009";"LU"
6758;"LU6758";"LU1132";"LU1132";"LU1";5575.25;;"2009";"LU"
6759;"LU6759";"LU1146";"LU1146";"LU1";5826.75;;"2009";"LU"
6760;"LU6760";"LU1124";"LU1124";"LU1";15605.51;;"2009";"LU"
6761;"LU6761";"LU1145";"LU1145";"LU1";13292.63;;"2009";"LU"
6762;"LU6762";"LU1141";"LU1141";"LU1";12397.10;;"2009";"LU"
6763;"LU6763";"LU1130";"LU1130";"LU1";15153.48;;"2009";"LU"
6764;"LU6764";"LU1148";"LU1148";"LU1";16621.98;;"2009";"LU"
6765;"LU6765";"LU1136";"LU1136";"LU1";14273.76;;"2009";"LU"
6766;"LU6766";"LU1125";"LU1125";"LU1";20213.45;;"2009";"LU"
6767;"LU6767";"LU1133";"LU1133";"LU1";28298.11;;"2009";"LU"
6768;"LU6768";"LU1127";"LU1127";"LU1";21487.58;;"2009";"LU"
6769;"LU6769";"LU1142";"LU1142";"LU1";22330.97;;"2009";"LU"
6770;"LU6770";"LU1144";"LU1144";"LU1";34491.45;;"2009";"LU"
6771;"LU6771";"LU1131";"LU1131";"LU1";24999.64;;"2009";"LU"
6772;"LU6772";"LU1129";"LU1129";"LU1";42969.39;;"2009";"LU"
6773;"LU6773";"LU1147";"LU1147";"LU1";34497.45;;"2009";"LU"
6774;"LU6774";"LU2198";"LU2198";"LU1";40688.28;;"2009";"LU"
6775;"LU6775";"LU1126";"LU1126";"LU1";32776.93;;"2009";"LU"
6776;"LU6776";"LU1134";"LU1134";"LU1";23752.18;;"2009";"LU"
6777;"LU6777";"LU1138";"LU1138";"LU1";35241.92;;"2009";"LU"
6778;"LU6778";"LU2199";"LU2199";"LU1";336.06;;"2009";"LU"
6779;"LU6779";"LU1149";"LU1149";"LU1";2423.28;;"2009";"LU"
6780;"LU6780";"LU1158";"LU1158";"LU1";887.35;;"2009";"LU"
6781;"LU6781";"LU2200";"LU2200";"LU1";12252.05;;"2009";"LU"
6782;"LU6782";"LU1153";"LU1153";"LU1";11559.53;;"2009";"LU"
6783;"LU6783";"LU1161";"LU1161";"LU1";9791.24;;"2009";"LU"
6784;"LU6784";"LU1159";"LU1159";"LU1";9580.61;;"2009";"LU"
6785;"LU6785";"LU1150";"LU1150";"LU1";9717.81;;"2009";"LU"
6786;"LU6786";"LU1155";"LU1155";"LU1";18231.09;;"2009";"LU"
6787;"LU6787";"LU1151";"LU1151";"LU1";19705.24;;"2009";"LU"
